NCBI GeneID	Symbol	Description	Gene Type
102633196	Gm31084	predicted gene, 31084	ncRNA
102633197	Gm31085	predicted gene, 31085	ncRNA
102633198	Gm31086	predicted gene, 31086	ncRNA
102633199	Gm31087	predicted gene, 31087	ncRNA
102633200	Gm31088	predicted gene, 31088	ncRNA
102633202	Gm31089	predicted gene, 31089	ncRNA
102633203	Gm31090	predicted gene, 31090	ncRNA
102633204	Gm31091	predicted gene, 31091	ncRNA
102633205	Gm31092	predicted gene, 31092	ncRNA
102633208	Gm31095	predicted gene, 31095	ncRNA
102633209	Gm31096	predicted gene, 31096	ncRNA
102633210	Oaz2-ps	ornithine decarboxylase antizyme 2, pseudogene	PSEUDO
102633211	Gm31097	predicted gene, 31097	ncRNA
102633212	Gm28468	predicted gene 28468	ncRNA
102633213	Gm20658	predicted gene 20658	ncRNA
102633214	Gm12925	predicted gene 12925	ncRNA
102633217	Gm29633	predicted gene 29633	ncRNA
102633219	Gm31101	predicted gene, 31101	ncRNA
102633220	Gm31102	predicted gene, 31102	ncRNA
102633221	Gm31103	predicted gene, 31103	ncRNA
102633222	Gm31104	predicted gene, 31104	PSEUDO
102633223	Gm31105	predicted gene, 31105	ncRNA
102633224	Gm31106	predicted gene, 31106	ncRNA
102633226	Gm31107	predicted gene, 31107	ncRNA
102633229	Gm31109	predicted gene, 31109	ncRNA
102633230	Gm11633	predicted gene 11633	PROTEIN_CODING
102633232	Gm15358	F-box/SPRY domain-containing protein 1-like	PSEUDO
102633233	Gm31111	predicted gene, 31111	ncRNA
102633235	Gm31113	predicted gene, 31113	ncRNA
102633236	Gm13481	predicted gene 13481	ncRNA
102633237	Gm31114	predicted gene, 31114	ncRNA
102633238	Gm29521	predicted gene 29521	ncRNA
102633239	4930573G07Rik	RIKEN cDNA 4930573G07 gene	ncRNA
102633240	Gm31115	predicted gene, 31115	ncRNA
102633241	Gm31116	predicted gene, 31116	ncRNA
102633242	Gm31117	predicted gene, 31117	ncRNA
102633243	Gm31118	predicted gene, 31118	ncRNA
102633244	Gm26710	predicted gene, 26710	ncRNA
102633245	Gm15723	predicted gene 15723	ncRNA
102633246	Gm12087	predicted gene 12087	PSEUDO
102633247	Gm31119	predicted gene, 31119	ncRNA
102633248	Gm31120	predicted gene, 31120	ncRNA
102633249	Gm31121	predicted gene, 31121	ncRNA
102633250	Astx2	amplified spermatogenic transcripts X encoded 2	PROTEIN_CODING
102633252	Gm31123	predicted gene, 31123	ncRNA
102633253	Gm21791	predicted gene, 21791	PROTEIN_CODING
102633254	Gm20102	protein kish-A pseudogene	PSEUDO
102633256	Gm21094	predicted gene, 21094	ncRNA
102633257	Gm31125	predicted gene, 31125	ncRNA
102633258	Gm31126	predicted gene, 31126	ncRNA
102633259	Gm16249	predicted gene 16249	ncRNA
102633260	Gm31127	predicted gene, 31127	ncRNA
102633261	Gm31128	predicted gene, 31128	ncRNA
102633262	Gm31129	predicted gene, 31129	ncRNA
102633263	Gm31130	predicted gene, 31130	ncRNA
102633264	Gm31131	predicted gene, 31131	ncRNA
102633265	Gm31132	predicted gene, 31132	ncRNA
102633266	Gm9748	predicted gene 9748	ncRNA
102633267	Gm31133	predicted gene, 31133	ncRNA
102633269	Gm10087	predicted gene 10087	ncRNA
102633270	Gm31134	predicted gene, 31134	ncRNA
102633271	Gm31135	predicted gene, 31135	ncRNA
102633272	Gm31136	predicted gene, 31136	ncRNA
102633273	Gm31137	predicted gene, 31137	ncRNA
102633274	Gm2148	transcription elongation factor A protein-like 9	PSEUDO
102633275	Gm31138	predicted gene, 31138	ncRNA
102633277	Gm38452	predicted gene, 38452	ncRNA
102633278	Gm31140	predicted gene, 31140	ncRNA
102633279	Gm31141	predicted gene, 31141	ncRNA
102633280	Gm31142	predicted gene, 31142	ncRNA
102633281	Gm31143	predicted gene, 31143	ncRNA
102633282	Gm31144	predicted gene, 31144	ncRNA
102633283	Gm31145	predicted gene, 31145	ncRNA
102633284	Gm13787	predicted gene 13787	PSEUDO
102633285	Gm31146	predicted gene, 31146	ncRNA
102633286	Gm31147	predicted gene, 31147	ncRNA
102633287	Gm31148	predicted gene, 31148	ncRNA
102633290	Gm31151	predicted gene, 31151	ncRNA
102633291	Gm31152	predicted gene, 31152	ncRNA
102633293	Gm31154	predicted gene, 31154	ncRNA
102633294	Gm31155	predicted gene, 31155	ncRNA
102633295	Gm15075	predicted gene 15075	PSEUDO
102633296	Gm31156	predicted gene, 31156	ncRNA
102633297	Gm31157	predicted gene, 31157	ncRNA
102633299	Gm28815	predicted gene 28815	ncRNA
102633300	Gm31159	predicted gene, 31159	ncRNA
102633301	Gm31160	predicted gene, 31160	PROTEIN_CODING
102633302	Gm31161	predicted gene, 31161	ncRNA
102633303	Gm31162	predicted gene, 31162	ncRNA
102633305	Gm31164	predicted gene, 31164	ncRNA
102633306	Gm31165	predicted gene, 31165	ncRNA
102633307	Gm31166	predicted gene, 31166	PSEUDO
102633308	Gm5305	40S ribosomal protein S6 pseudogene	PSEUDO
102633311	Gm31108	predicted gene, 31108	ncRNA
102633312	1700001J04Rik	RIKEN cDNA 1700001J04 gene	ncRNA
102633313	Gm11533	predicted gene 11533	PSEUDO
102633315	Gm16159	predicted gene 16159	ncRNA
102633316	Gm31171	predicted gene, 31171	ncRNA
102633317	Gm31172	predicted gene, 31172	ncRNA
102633320	Gm31175	predicted gene, 31175	ncRNA
102633321	4930448E22Rik	RIKEN cDNA 4930448E22 gene	ncRNA
102633322	A730094K22Rik	RIKEN cDNA A730094K22 gene	ncRNA
102633324	Gm16142	predicted gene 16142	ncRNA
102633325	Gm31177	predicted gene, 31177	PSEUDO
102633326	Gm31178	predicted gene, 31178	ncRNA
102633327	Gm31179	predicted gene, 31179	ncRNA
102633329	Gm31180	predicted gene, 31180	ncRNA
102633330	Gm31181	predicted gene, 31181	ncRNA
102633331	Gm31182	predicted gene, 31182	ncRNA
102633332	Gm12013	60S ribosomal protein L39 pseudogene	PSEUDO
102633333	Scgb2b13-ps	secretoglobin, family 2B, member 13, pseudogene	PROTEIN_CODING
102633334	Gm31183	predicted gene, 31183	ncRNA
102633338	Gm31187	predicted gene, 31187	ncRNA
102633340	Gm31188	predicted gene, 31188	ncRNA
102633341	Gm31189	predicted gene, 31189	ncRNA
102633342	Gm31190	predicted gene, 31190	ncRNA
102633343	Gm31191	predicted gene, 31191	PSEUDO
102633344	Gm31192	predicted gene, 31192	PSEUDO
102633345	Gm9922	predicted gene 9922	ncRNA
102633346	Gm31193	predicted gene, 31193	PROTEIN_CODING
102633347	Gm53173	predicted gene, 53173	ncRNA
102633348	Gm31194	predicted gene, 31194	ncRNA
102633349	Gm31195	predicted gene, 31195	ncRNA
102633350	Gm31196	predicted gene, 31196	ncRNA
102633352	Gm31197	predicted gene, 31197	ncRNA
102633353	Gm31198	predicted gene, 31198	ncRNA
102633354	Gm31199	predicted gene, 31199	ncRNA
102633356	Gm31201	predicted gene, 31201	ncRNA
102633358	Gm31202	predicted gene, 31202	ncRNA
102633360	Gm31204	predicted gene, 31204	ncRNA
102633361	Gm31205	predicted gene, 31205	ncRNA
102633362	Gm31206	predicted gene, 31206	ncRNA
102633364	Gm31207	predicted gene, 31207	ncRNA
102633365	Gm31208	predicted gene, 31208	ncRNA
102633366	Gm12090	60S ribosomal protein L7-like	PSEUDO
102633367	Gm31209	predicted gene, 31209	ncRNA
102633368	Gm31210	predicted gene, 31210	ncRNA
102633369	Gm31211	predicted gene, 31211	PSEUDO
102633371	Gm14902	predicted gene 14902	ncRNA
102633372	Gm31213	predicted gene, 31213	ncRNA
102633373	Gm31214	predicted gene, 31214	ncRNA
102633375	Gm28617	predicted gene 28617	ncRNA
102633376	Gm12924	predicted gene 12924	PSEUDO
102633377	Gm21849	predicted gene, 21849	PROTEIN_CODING
102633379	Gm29108	predicted gene 29108	ncRNA
102633380	Gm31216	predicted gene, 31216	ncRNA
102633381	Gm31217	predicted gene, 31217	ncRNA
102633383	Gm31218	predicted gene, 31218	ncRNA
102633384	Gm31219	predicted gene, 31219	ncRNA
102633385	Gm31220	predicted gene, 31220	ncRNA
102633386	Gm31221	predicted gene, 31221	ncRNA
102633387	Gm31222	predicted gene, 31222	PSEUDO
102633388	Gm31223	predicted gene, 31223	ncRNA
102633389	Gm31224	predicted gene, 31224	ncRNA
102633390	Gm31225	predicted gene, 31225	ncRNA
102633391	Gm31226	predicted gene, 31226	ncRNA
102633392	Gm31227	predicted gene, 31227	ncRNA
102633393	Gm31228	predicted gene, 31228	ncRNA
102633394	Gm31229	predicted gene, 31229	ncRNA
102633395	Gm31230	predicted gene, 31230	PSEUDO
102633396	Gm31231	predicted gene, 31231	ncRNA
102633398	Gm31233	predicted gene, 31233	ncRNA
102633399	Gm31234	predicted gene, 31234	ncRNA
102633400	Gm20506	predicted gene 20506	ncRNA
102633401	Gm31235	predicted gene, 31235	ncRNA
102633402	Gm31236	predicted gene, 31236	PROTEIN_CODING
102633403	Gm31237	predicted gene, 31237	ncRNA
102633405	Gm31239	predicted gene, 31239	ncRNA
102633406	Gm31240	predicted gene, 31240	ncRNA
102633407	Gm26847	predicted gene, 26847	ncRNA
102633409	Gm31242	predicted gene, 31242	ncRNA
102633410	Gm31243	predicted gene, 31243	ncRNA
102633411	Gm31244	predicted gene, 31244	ncRNA
102633413	Gm29530	predicted gene 29530	ncRNA
102633416	Gm31248	predicted gene, 31248	PROTEIN_CODING
102633417	Gm31249	predicted gene, 31249	ncRNA
102633418	Gm31250	predicted gene, 31250	ncRNA
102633419	Gm31251	predicted gene, 31251	ncRNA
102633420	Gm12223	predicted gene 12223	ncRNA
102633421	Gm31252	predicted gene, 31252	PSEUDO
102633422	Gm31253	predicted gene, 31253	ncRNA
102633423	Gm31254	predicted gene, 31254	ncRNA
102633424	Gm31255	predicted gene, 31255	PROTEIN_CODING
102633425	Gm5363	aldose reductase pseudogene	PSEUDO
102633426	Gm31256	predicted gene, 31256	PSEUDO
102633428	Gm31258	predicted gene, 31258	ncRNA
102633429	Gm31259	predicted gene, 31259	ncRNA
102633430	Gm31260	predicted gene, 31260	PSEUDO
102633431	Gm31261	predicted gene, 31261	ncRNA
102633432	Gm31262	predicted gene, 31262	ncRNA
102633433	Gm29478	predicted gene 29478	ncRNA
102633434	Gm31263	predicted gene, 31263	ncRNA
102633435	Gm26535	predicted gene, 26535	ncRNA
102633436	Gm11217	predicted gene 11217	ncRNA
102633437	Chrna1os	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle), opposite strand	ncRNA
102633438	Gm13974	predicted gene 13974	ncRNA
102633439	Gm14154	predicted gene 14154	ncRNA
102633440	Gm26763	predicted gene, 26763	ncRNA
102633441	Gm31265	predicted gene, 31265	ncRNA
102633442	Gm31266	predicted gene, 31266	ncRNA
102633443	Gm31267	predicted gene, 31267	ncRNA
102633444	Gm31268	predicted gene, 31268	ncRNA
102633445	Gm31269	predicted gene, 31269	ncRNA
102633448	Gm28127	predicted gene 28127	ncRNA
102633449	Gm31271	predicted gene, 31271	ncRNA
102633451	Gm29110	predicted gene 29110	PROTEIN_CODING
102633452	Gm38453	predicted gene, 38453	PSEUDO
102633453	Gm31273	predicted gene, 31273	ncRNA
102633454	Gm31274	predicted gene, 31274	PSEUDO
102633455	Gm31275	predicted gene, 31275	ncRNA
102633457	Gm31276	predicted gene, 31276	ncRNA
102633458	Gm11100	predicted gene 11100	PROTEIN_CODING
102633459	Gm31277	predicted gene, 31277	ncRNA
102633460	Gm31278	predicted gene, 31278	ncRNA
102633461	Gm31279	predicted gene, 31279	ncRNA
102633463	Gm31281	predicted gene, 31281	ncRNA
102633464	Gm31282	predicted gene, 31282	ncRNA
102633465	Gm31283	predicted gene, 31283	ncRNA
102633466	Gm31284	predicted gene, 31284	ncRNA
102633467	Gm31285	predicted gene, 31285	ncRNA
102633468	Gm31286	predicted gene, 31286	ncRNA
102633470	Gm31287	predicted gene, 31287	PROTEIN_CODING
102633471	Gm31288	predicted gene, 31288	ncRNA
102633472	LOC102633472	uncharacterized LOC102633472	ncRNA
102633473	Gm31289	predicted gene, 31289	ncRNA
102633474	Gm31290	predicted gene, 31290	ncRNA
102633475	Gm31291	predicted gene, 31291	ncRNA
102633476	Gm31292	predicted gene, 31292	ncRNA
102633477	Gm27243	predicted gene 27243	ncRNA
102633478	Gm16090	predicted gene 16090	ncRNA
102633479	Gm31293	predicted gene, 31293	ncRNA
102633480	Gm31294	predicted gene, 31294	ncRNA
102633481	Gm31295	predicted gene, 31295	ncRNA
102633482	Gm31296	predicted gene, 31296	ncRNA
102633484	Gm31298	predicted gene, 31298	ncRNA
102633486	Gm31300	predicted gene, 31300	ncRNA
102633487	Gm31301	predicted gene, 31301	ncRNA
102633488	Gm31302	predicted gene, 31302	ncRNA
102633491	Gm31304	predicted gene, 31304	ncRNA
102633492	Gm31305	predicted gene, 31305	ncRNA
102633493	Gm9409	60S ribosomal protein L36a-like	PSEUDO
102633494	Gm31306	predicted gene, 31306	PSEUDO
102633495	Gm31307	predicted gene, 31307	ncRNA
102633496	Gm31308	predicted gene, 31308	ncRNA
102633497	A730080H06Rik	RIKEN cDNA A730080H06 gene	ncRNA
102633498	Gm31309	predicted gene, 31309	PROTEIN_CODING
102633500	Gm31311	predicted gene, 31311	ncRNA
102633501	Gm29382	predicted gene 29382	PSEUDO
102633503	Gm31313	predicted gene, 31313	ncRNA
102633504	Gm31314	predicted gene, 31314	ncRNA
102633507	Gm31317	predicted gene, 31317	ncRNA
102633508	Gm31318	predicted gene, 31318	ncRNA
102633509	Gm31319	predicted gene, 31319	ncRNA
102633510	Gm31320	predicted gene, 31320	ncRNA
102633511	Gm31321	predicted gene, 31321	ncRNA
102633512	Gm31322	predicted gene, 31322	PROTEIN_CODING
102633513	Gm31323	predicted gene, 31323	ncRNA
102633515	Gm31324	predicted gene, 31324	ncRNA
102633516	Peak1os	pseudopodium-enriched atypical kinase 1, opposite strand	ncRNA
102633517	Gm31325	predicted gene, 31325	ncRNA
102633518	Gm31326	predicted gene, 31326	ncRNA
102633520	Gm31328	predicted gene, 31328	PROTEIN_CODING
102633521	Gm31329	predicted gene, 31329	ncRNA
102633522	Gm31330	predicted gene, 31330	ncRNA
102633523	Gm13771	cytochrome c oxidase subunit 7B, mitochondrial pseudogene	PSEUDO
102633524	Gm31331	predicted gene, 31331	ncRNA
102633525	Gm31332	predicted gene, 31332	PROTEIN_CODING
102633526	Gm31333	predicted gene, 31333	ncRNA
102633528	Gm31335	predicted gene, 31335	PROTEIN_CODING
102633529	Gm29333	predicted gene 29333	ncRNA
102633530	Gm31336	predicted gene, 31336	ncRNA
102633531	Gm28814	predicted gene 28814	PROTEIN_CODING
102633532	Gm28609	predicted gene 28609	ncRNA
102633533	Gm31337	predicted gene, 31337	ncRNA
102633537	Gm31340	predicted gene, 31340	ncRNA
102633538	Gm31341	predicted gene, 31341	ncRNA
102633539	Gm15661	predicted gene 15661	PSEUDO
102633540	Myhas	myosin heavy chain gene antisense RNA	ncRNA
102633542	Gm11699	predicted gene 11699	PSEUDO
102633543	Gm31342	predicted gene, 31342	ncRNA
102633544	Gm31343	predicted gene, 31343	ncRNA
102633545	Gm31344	predicted gene, 31344	ncRNA
102633548	LOC102633548	sp110 nuclear body protein-like	PSEUDO
102633549	Gm31347	predicted gene, 31347	PSEUDO
102633550	Gm31348	predicted gene, 31348	ncRNA
102633551	Gm31349	predicted gene, 31349	ncRNA
102633553	Gm19598	thioredoxin-like protein 4A pseudogene	PSEUDO
102633554	Gm31351	predicted gene, 31351	ncRNA
102633555	Gm14051	predicted gene 14051	ncRNA
102633556	Gm31352	predicted gene, 31352	ncRNA
102633557	Gm31353	predicted gene, 31353	ncRNA
102633559	Gm31355	predicted gene, 31355	ncRNA
102633560	Gm31356	predicted gene, 31356	ncRNA
102633562	Gm31358	predicted gene, 31358	ncRNA
102633563	Gm31359	predicted gene, 31359	ncRNA
102633564	Gm28919	predicted gene 28919	ncRNA
102633566	Gm29321	predicted gene 29321	ncRNA
102633570	Gm21752	predicted gene, 21752	PROTEIN_CODING
102633571	Gm31363	predicted gene, 31363	ncRNA
102633572	Gm31364	predicted gene, 31364	ncRNA
102633573	Gm31365	predicted gene, 31365	ncRNA
102633575	Gm31367	predicted gene, 31367	ncRNA
102633576	4930412F09Rik	RIKEN cDNA 4930412F09 gene	ncRNA
102633578	Gm31369	predicted gene, 31369	ncRNA
102633579	Gm31370	predicted gene, 31370	ncRNA
102633582	Gm31373	predicted gene, 31373	ncRNA
102633583	Gm31374	predicted gene, 31374	ncRNA
102633584	Gm13489	glyceraldehyde-3-phosphate dehydrogenase pseudogene	PSEUDO
102633585	Gm31375	predicted gene, 31375	ncRNA
102633588	Gm15321	non-histone chromosomal protein HMG-14-like	PSEUDO
102633590	Gm31378	predicted gene, 31378	ncRNA
102633591	Gm31379	predicted gene, 31379	ncRNA
102633593	AA387200	expressed sequence AA387200	ncRNA
102633596	Gm4247	dnaJ homolog subfamily B member 6 pseudogene	PSEUDO
102633597	Gm31383	predicted gene, 31383	ncRNA
102633598	Gm31384	predicted gene, 31384	ncRNA
102633599	Gm31385	predicted gene, 31385	ncRNA
102633600	Gm26633	predicted gene, 26633	ncRNA
102633601	Gm31386	predicted gene, 31386	ncRNA
102633603	Gm31388	predicted gene, 31388	ncRNA
102633606	Gm31390	predicted gene, 31390	ncRNA
102633607	Gm31391	predicted gene, 31391	ncRNA
102633608	Gm31392	predicted gene, 31392	ncRNA
102633609	Gm31393	predicted gene, 31393	ncRNA
102633610	Gm31394	predicted gene, 31394	ncRNA
102633611	Gm31395	predicted gene, 31395	ncRNA
102633615	Gm31399	predicted gene, 31399	ncRNA
102633616	Gm31400	predicted gene, 31400	ncRNA
102633617	Gm31401	predicted gene, 31401	ncRNA
102633618	Gm31402	predicted gene, 31402	ncRNA
102633620	Gm31404	predicted gene, 31404	ncRNA
102633621	Gm31405	predicted gene, 31405	PSEUDO
102633622	Gm31406	predicted gene, 31406	ncRNA
102633623	Gm31407	predicted gene, 31407	ncRNA
102633624	Gm31408	predicted gene, 31408	ncRNA
102633625	Gm31409	predicted gene, 31409	ncRNA
102633626	Gm31410	predicted gene, 31410	ncRNA
102633627	Gm7809	tropomyosin 4, pseudogene	PSEUDO
102633630	Gm31413	predicted gene, 31413	ncRNA
102633631	Gm31414	predicted gene, 31414	PSEUDO
102633632	Gm31415	predicted gene, 31415	ncRNA
102633633	Gm31416	predicted gene, 31416	ncRNA
102633634	Gm26876	predicted gene, 26876	ncRNA
102633635	Gm31417	predicted gene, 31417	ncRNA
102633636	Gm31418	predicted gene, 31418	ncRNA
102633638	Gm31419	predicted gene, 31419	ncRNA
102633639	Gm31420	predicted gene, 31420	ncRNA
102633640	Gm31421	tRNA methyltransferase 112 homolog	PSEUDO
102633641	Gm31422	predicted gene, 31422	ncRNA
102633642	Gm28337	predicted gene 28337	PROTEIN_CODING
102633643	4930552P06Rik	RIKEN cDNA 4930552P06 gene	ncRNA
102633644	Gm28687	predicted gene 28687	ncRNA
102633645	Gm28844	predicted gene 28844	ncRNA
102633646	Gm31423	predicted gene, 31423	ncRNA
102633651	Gm14532	predicted gene 14532	ncRNA
102633653	Gm31427	predicted gene, 31427	ncRNA
102633654	Gm31428	predicted gene, 31428	ncRNA
102633655	Gm20118	mitochondrial import receptor subunit TOM5 homolog	PSEUDO
102633657	Gm31429	predicted gene, 31429	ncRNA
102633659	Gm31430	predicted gene, 31430	ncRNA
102633660	Gm31431	predicted gene, 31431	ncRNA
102633661	Gm31432	predicted gene, 31432	ncRNA
102633662	Gm31433	predicted gene, 31433	PROTEIN_CODING
102633663	Gm31434	predicted gene, 31434	ncRNA
102633664	Gm31435	predicted gene, 31435	ncRNA
102633665	Gm31436	predicted gene, 31436	ncRNA
102633666	AV099323	expressed sequence AV099323	ncRNA
102633667	Gm31437	predicted gene, 31437	ncRNA
102633668	Gm31438	predicted gene, 31438	ncRNA
102633669	Gm31439	predicted gene, 31439	ncRNA
102633671	Gm3828	ATP synthase subunit f, mitochondrial pseudogene	PSEUDO
102633673	Etaa1os	Ewing tumor-associated antigen 1, opposite strand	ncRNA
102633674	Gm31441	predicted gene, 31441	ncRNA
102633675	Gm31442	predicted gene, 31442	ncRNA
102633676	Gm31443	predicted gene, 31443	ncRNA
102633677	5330425B07Rik	RIKEN cDNA 5330425B07 gene	ncRNA
102633678	Gm31444	predicted gene, 31444	PROTEIN_CODING
102633680	Gm31446	predicted gene, 31446	ncRNA
102633681	Gm14991	predicted gene 14991	ncRNA
102633682	Gm31447	predicted gene, 31447	ncRNA
102633683	Gm21853	predicted gene, 21853	PSEUDO
102633684	Gm31448	predicted gene, 31448	ncRNA
102633685	Gm31449	predicted gene, 31449	ncRNA
102633686	Gm31450	predicted gene, 31450	ncRNA
102633687	Gm31451	predicted gene, 31451	PSEUDO
102633688	Gm28441	predicted gene 28441	ncRNA
102633689	Gm31452	predicted gene, 31452	ncRNA
102633690	Gm31453	predicted gene, 31453	ncRNA
102633692	Gm15395	predicted gene 15395	ncRNA
102633693	Gm31455	predicted gene, 31455	ncRNA
102633694	Gm31456	predicted gene, 31456	ncRNA
102633695	Gm31457	predicted gene, 31457	ncRNA
102633697	Gm31458	predicted gene, 31458	ncRNA
102633698	Gm31459	predicted gene, 31459	PSEUDO
102633699	Gm31460	predicted gene, 31460	ncRNA
102633700	Gm31461	predicted gene, 31461	ncRNA
102633701	Gm31462	predicted gene, 31462	ncRNA
102633702	Gm31463	predicted gene, 31463	ncRNA
102633703	Gm31464	predicted gene, 31464	PROTEIN_CODING
102633704	Gm31465	predicted gene, 31465	ncRNA
102633705	C530043A13Rik	RIKEN cDNA C530043A13 gene	ncRNA
102633707	Gm31467	predicted gene, 31467	PROTEIN_CODING
102633708	Gm31468	predicted gene, 31468	ncRNA
102633709	Gm31469	predicted gene, 31469	ncRNA
102633711	Gm15320	predicted gene 15320	ncRNA
102633712	Gm31471	predicted gene, 31471	ncRNA
102633713	Gm31472	predicted gene, 31472	ncRNA
102633714	Gm31473	predicted gene, 31473	ncRNA
102633715	Gm31474	predicted gene, 31474	ncRNA
102633716	Gm31475	predicted gene, 31475	ncRNA
102633717	Gm31476	predicted gene, 31476	ncRNA
102633718	Gm31477	predicted gene, 31477	PROTEIN_CODING
102633720	Gm29638	predicted gene 29638	ncRNA
102633721	Gm31479	predicted gene, 31479	ncRNA
102633724	1700047F07Rik	RIKEN cDNA 1700047F07 gene	ncRNA
102633725	Gm31482	predicted gene, 31482	ncRNA
102633726	Gm21906	predicted gene, 21906	PROTEIN_CODING
102633727	Gm28225	predicted gene 28225	ncRNA
102633728	Gm31483	predicted gene, 31483	ncRNA
102633729	Gm31484	predicted gene, 31484	ncRNA
102633730	Gm31485	predicted gene, 31485	ncRNA
102633732	Gm31486	predicted gene, 31486	ncRNA
102633733	Gm31487	predicted gene, 31487	ncRNA
102633735	Gm31489	predicted gene, 31489	PSEUDO
102633737	Gm31490	predicted gene, 31490	ncRNA
102633738	Gm31491	predicted gene, 31491	PSEUDO
102633739	Gm31492	predicted gene, 31492	ncRNA
102633740	Gm31493	predicted gene, 31493	PROTEIN_CODING
102633741	Gm31494	predicted gene, 31494	ncRNA
102633742	Gm31495	predicted gene, 31495	ncRNA
102633743	Gm31496	predicted gene, 31496	ncRNA
102633744	Gm31497	predicted gene, 31497	ncRNA
102633747	Gm31499	predicted gene, 31499	ncRNA
102633748	Gm31500	predicted gene, 31500	ncRNA
102633749	Gm31501	predicted gene, 31501	ncRNA
102633750	Gm10130	predicted gene 10130	PROTEIN_CODING
102633751	Gm31502	predicted gene, 31502	ncRNA
102633752	Gm31503	predicted gene, 31503	ncRNA
102633753	4930534H03Rik	RIKEN cDNA 4930534H03 gene	ncRNA
102633754	Gm31504	predicted gene, 31504	ncRNA
102633755	Gm31505	predicted gene, 31505	ncRNA
102633758	Gm31508	predicted gene, 31508	ncRNA
102633760	Gm31510	predicted gene, 31510	ncRNA
102633761	Gm31511	predicted gene, 31511	ncRNA
102633762	Gm31512	predicted gene, 31512	ncRNA
102633763	Gm31513	predicted gene, 31513	PROTEIN_CODING
102633764	Gm31514	predicted gene, 31514	ncRNA
102633765	Gm26606	predicted gene, 26606	ncRNA
102633766	Gm28365	predicted gene 28365	ncRNA
102633768	Gm31515	predicted gene, 31515	ncRNA
102633769	Gm31516	predicted gene, 31516	ncRNA
102633770	Gm31517	predicted gene, 31517	ncRNA
102633771	Gm31518	predicted gene, 31518	PSEUDO
102633772	Gm31519	predicted gene, 31519	ncRNA
102633773	Gm31520	sterol-C5-desaturase pseudogene	PSEUDO
102633774	Gm31521	predicted gene, 31521	ncRNA
102633775	Gm31522	predicted gene, 31522	ncRNA
102633776	Gm31523	predicted gene, 31523	ncRNA
102633779	Gm31525	predicted gene, 31525	ncRNA
102633780	Gm28321	predicted gene 28321	ncRNA
102633781	Gm29183	predicted gene 29183	ncRNA
102633782	Gm31526	predicted gene, 31526	PROTEIN_CODING
102633783	LOC102633783	sp110 nuclear body protein-like	PROTEIN_CODING
102633784	Gm7638	40S ribosomal protein S2 pseudogene	PSEUDO
102633785	Gm31527	predicted gene, 31527	ncRNA
102633788	Gm31529	predicted gene, 31529	ncRNA
102633789	Gm31530	predicted gene, 31530	ncRNA
102633790	Gm31531	predicted gene, 31531	ncRNA
102633791	Gm31532	predicted gene, 31532	PSEUDO
102633792	Gm31533	predicted gene, 31533	ncRNA
102633793	Gm31534	predicted gene, 31534	ncRNA
102633794	LOC102633794	uncharacterized LOC102633794	ncRNA
102633795	Gm31535	predicted gene, 31535	ncRNA
102633796	Gm31536	predicted gene, 31536	ncRNA
102633797	Gm31537	predicted gene, 31537	ncRNA
102633798	Gm31538	predicted gene, 31538	ncRNA
102633799	Gm29087	predicted gene 29087	ncRNA
102633800	Gm12770	predicted gene 12770	PROTEIN_CODING
102633801	Gm28130	predicted gene 28130	ncRNA
102633802	Gm31539	predicted gene, 31539	ncRNA
102633805	Gm26688	predicted gene, 26688	ncRNA
102633807	Gm31542	predicted gene, 31542	ncRNA
102633808	Gm31543	predicted gene, 31543	ncRNA
102633809	Gm3785	predicted gene 3785	PROTEIN_CODING
102633810	Gm31544	predicted gene, 31544	PSEUDO
102633811	Gm31545	predicted gene, 31545	ncRNA
102633812	Gm31546	predicted gene, 31546	ncRNA
102633813	Gm38454	predicted gene, 38454	ncRNA
102633814	Gm31547	predicted gene, 31547	ncRNA
102633815	Gm31548	predicted gene, 31548	ncRNA
102633817	Gm12230	40S ribosomal protein S11-like	PSEUDO
102633818	Gm31550	predicted gene, 31550	ncRNA
102633819	Gm31551	predicted gene, 31551	ncRNA
102633820	Gm31552	predicted gene, 31552	ncRNA
102633821	Gm31553	predicted gene, 31553	ncRNA
102633822	Gm31554	predicted gene, 31554	PSEUDO
102633823	Gm31555	predicted gene, 31555	ncRNA
102633824	Gm13261	predicted gene 13261	ncRNA
102633825	Gm31556	predicted gene, 31556	ncRNA
102633826	Gm31557	predicted gene, 31557	ncRNA
102633827	Gm31558	predicted gene, 31558	PROTEIN_CODING
102633828	Gm31559	predicted gene, 31559	ncRNA
102633829	Gm31560	predicted gene, 31560	ncRNA
102633831	Gm31562	predicted gene, 31562	ncRNA
102633832	Gm31563	predicted gene, 31563	ncRNA
102633833	Gm38455	predicted gene, 38455	ncRNA
102633834	Gm31564	predicted gene, 31564	ncRNA
102633835	Gm31565	predicted gene, 31565	ncRNA
102633836	Gm31566	predicted gene, 31566	ncRNA
102633837	Gm31567	predicted gene, 31567	PROTEIN_CODING
102633838	Gm31568	predicted gene, 31568	ncRNA
102633839	Gm31569	predicted gene, 31569	ncRNA
102633842	Gm31571	predicted gene, 31571	PROTEIN_CODING
102633843	Gm31572	predicted gene, 31572	PROTEIN_CODING
